Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves
276,Text,1995-06-01,"Franz Haydn's 104th Symphony [1794-5]
MIDI file",en,"Haydn, Joseph, 1732-1809",Music,M,Category: Music
277,Text,2008-06-29,Trinity Site,en,National Atomic Museum (U.S.),Manhattan Project (U.S.); Atomic bomb -- New Mexico -- Testing -- History,QC; U; D731,World War II; Category: History - American; Category: History - Modern (1750+); Category: History - Warfare
278,Text,2014-09-14,"Trinity Site: 1945-1995.
A National Historic Landmark, White Sands Missile Range, New Mexico",en,White Sands Missile Range (N.M.). Public Affairs Office,Manhattan Project (U.S.); Atomic bomb -- New Mexico -- Los Alamos -- Testing -- History,QC; U; D731,World War II; Category: History - American; Category: History - Modern (1750+); Category: History - Warfare
279,Text,2014-09-14,Photos and Maps of Trinity (Atomic Test) Site,en,White Sands Missile Range (N.M.). Public Affairs Office [Contributor],Manhattan Project (U.S.); Atomic bomb -- New Mexico -- Los Alamos -- Testing -- History,QC; U; D731,World War II; Category: History - American; Category: History - Modern (1750+); Category: History - Warfare
280,Text,1995-06-01,Records of a Family of Engineers,en,"Stevenson, Robert Louis, 1850-1894","Stevenson, Robert, 1772-1850; Stephenson family; Engineers -- Great Britain -- Biography; Bell Rock Lighthouse (Scotland); Lighthouses -- Scotland",TA,Category: Biographies; Category: History - British; Category: Engineering & Technology
281,Text,1995-06-01,Father Damien: An Open Letter to the Reverend Dr. Hyde of Honolulu,en,"Stevenson, Robert Louis, 1850-1894","Damien, Saint, Father, 1840-1889",BX,"Category: Essays, Letters & Speeches; Category: British Literature"
282,Text,1995-06-01,"Eothen; Or, Traces of Travel Brought Home from the East",en,"Kinglake, Alexander William, 1809-1891","Middle East -- Description and travel; Kinglake, Alexander William, 1809-1891 -- Travel -- Middle East",DS,Category: Travel Writing
283,Text,1995-06-01,The Reef,en,"Wharton, Edith, 1862-1937",Love stories; Domestic fiction; France -- Fiction; Man-woman relationships -- Fiction; Americans -- France -- Fiction,PS,Category: Novels; Category: American Literature
284,Text,1995-06-01,The House of Mirth,en,"Wharton, Edith, 1862-1937",New York (N.Y.) -- Fiction; Psychological fiction; Single women -- Fiction; Social classes -- Fiction,PS,"Bestsellers, American, 1895-1923; Category: Novels; Category: American Literature"
285,Text,2008-07-09,The Lost Continent,en,"Hyne, Charles John Cutcliffe Wright, 1866-1944",Science fiction; Fantasy fiction; Atlantis (Legendary place) -- Fiction; Lost continents -- Fiction,PR,Science Fiction; Category: Science-Fiction & Fantasy; Category: Adventure; Category: Novels
286,Text,1995-06-01,Laddie: A True Blue Story,en,"Stratton-Porter, Gene, 1863-1924",Didactic fiction; Indiana -- Fiction,PS,"Bestsellers, American, 1895-1923; Category: Children & Young Adult Reading; Category: Adventure; Category: Novels; Category: American Literature"
287,Text,2008-06-29,Remember the Alamo,en,"Barr, Amelia E., 1831-1919","Texas -- History -- Revolution, 1835-1836 -- Fiction; Western stories; War stories; Alamo (San Antonio, Tex.) -- Siege, 1836 -- Fiction",PZ; PS,Category: Historical Novels; Category: Novels; Category: American Literature
288,Text,1995-07-01,The Certain Hour (Dizain des Poëtes),en,"Cabell, James Branch, 1879-1958",Short stories; Fantasy fiction,PS,Fantasy; Category: Novels; Category: American Literature
289,Text,1995-07-01,The Wind in the Willows,en,"Grahame, Kenneth, 1859-1932",Fantasy fiction; Animals -- Fiction; Humorous stories; England -- Fiction; Friendship -- Fiction; Pastoral fiction; Country life -- Fiction; River life -- Fiction,PR; PZ,Children's Literature; Best Books Ever Listings; Category: Children & Young Adult Reading; Category: Novels; Category: British Literature
290,Text,1995-07-01,"The Stark Munro Letters
Being series of twelve letters written by J. Stark Munro, M.B., to his friend and former fellow-student, Herbert Swanborough, of Lowell, Massachusetts, during the years 1881-1884",en,"Doyle, Arthur Conan, 1859-1930",Epistolary fiction,PR,Category: Novels; Category: British Literature
291,Text,2008-07-03,The Golden Age,en,"Grahame, Kenneth, 1859-1932",England -- Fiction; Bildungsromans; Pastoral fiction; Siblings -- Fiction; Country life -- Fiction,PR,Category: Children & Young Adult Reading; Category: Novels; Category: British Literature
292,Text,2008-06-29,"Beauty and the Beast, and Tales of Home",en,"Taylor, Bayard, 1825-1878",Short stories; United States -- Social life and customs -- 19th century -- Fiction,PS,Category: Novels; Category: Russian Literature
293,Text,2006-03-15,Paul Prescott's Charge,en,"Alger, Horatio, Jr., 1832-1899",Orphans -- Fiction; Runaway teenagers -- Fiction; Conduct of life -- Fiction; New York (N.Y.) -- History -- 19th century -- Fiction,PZ; PS,Children's Fiction; Category: Children & Young Adult Reading; Category: Adventure; Category: Novels; Category: American Literature
294,Text,1995-07-01,"The Captain of the Polestar, and Other Tales",en,"Doyle, Arthur Conan, 1859-1930","Great Britain -- Social life and customs -- 19th century -- Fiction; Short stories, English",PR,Category: Short Stories; Category: Adventure; Category: British Literature
295,Text,1995-07-01,The Early Short Fiction of Edith Wharton — Part 1,en,"Wharton, Edith, 1862-1937","Fiction; Short stories, American",PS,Category: Short Stories; Category: American Literature
296,Text,2006-03-15,The Cash Boy,en,"Alger, Horatio, Jr., 1832-1899",Adoptees -- Juvenile fiction; Orphans -- Juvenile fiction; Didactic fiction; Baseball -- Juvenile fiction; Adventure stories; Boys -- Juvenile fiction,PZ; PS,Children's Fiction; Category: Children & Young Adult Reading; Category: Novels; Category: American Literature
297,Text,1995-07-01,The Flirt,en,"Tarkington, Booth, 1869-1946",Young women -- Fiction; Swindlers and swindling -- Fiction; Courtship -- Fiction; Forgery -- Fiction,PS,Category: Romance; Category: Novels; Category: American Literature
298,Text,2008-07-09,The Market-Place,en,"Frederic, Harold, 1856-1898",England -- Fiction; Swindlers and swindling -- Fiction; Nobility -- Fiction; Capitalists and financiers -- Fiction; Stock exchanges -- Fiction; Jews -- Fiction,PS,"Bestsellers, American, 1895-1923; Category: Novels; Category: British Literature"
299,Text,1995-07-01,Tales from Two Hemispheres,en,"Boyesen, Hjalmar Hjorth, 1848-1895",Short stories; Norwegian Americans -- Fiction,PS,Category: Short Stories; Category: Novels; Category: American Literature
300,Text,1995-07-01,United States Declaration of Independence,en,"Jefferson, Thomas, 1743-1826","United States -- History -- Revolution, 1775-1783 -- Sources",E201; JK,"Politics; Category: Essays, Letters & Speeches; Category: History - American"
301,Text,1995-07-01,The Ballad of Reading Gaol,en,"Wilde, Oscar, 1854-1900",Imprisonment -- Poetry; Prisoners -- Poetry; Prisons -- Poetry,PR,Category: Poetry; Category: British Literature
302,Text,1995-07-01,The Fibonacci Number Series,en,"Husted, Michael",Mathematics; Fibonacci numbers,QA,Mathematics; Category: Mathematics
303,Text,1995-07-01,HomeBrew HomePages Put YOU on the World Wide Web,en,Anonymous,World Wide Web,TK,Category: Engineering & Technology; Category: How To ...
304,Text,1995-08-01,"Rio Grande's Last Race, and Other Verses",en,"Paterson, A. B. (Andrew Barton), 1864-1941",Australian poetry,PR,Australia; Category: Poetry
305,Text,2008-07-02,The Count's Millions,en,"Gaboriau, Emile, 1832-1873",Fiction; Detective and mystery stories,PQ,"Detective Fiction; Category: Crime, Thrillers and Mystery; Category: Novels; Category: French Literature"
306,Text,1995-08-01,The Early Short Fiction of Edith Wharton — Part 2,en,"Wharton, Edith, 1862-1937","Fiction; Short stories, American",PS,Category: Short Stories; Category: American Literature
307,Text,2008-06-29,"Three Elephant Power, and Other Stories",en,"Paterson, A. B. (Andrew Barton), 1864-1941","Frontier and pioneer life -- Australia -- Fiction; Short stories, Australian; Australia -- Social life and customs -- Fiction",PR,Australia; Category: Short Stories; Category: Humour
308,Text,1995-08-01,Three men in a boat (to say nothing of the dog),en,"Jerome, Jerome K. (Jerome Klapka), 1859-1927","Young men -- Travel -- England -- Thames River -- Fiction; Boats and boating -- England -- Thames River -- Fiction; Dogs -- Fiction; Humorous stories, English; Thames River (England) -- Fiction; Male friendship -- Fiction",PR,Best Books Ever Listings; Humor; Category: Humour; Category: Novels; Category: British Literature
309,Text,1995-08-01,Rhymes of a Rolling Stone,en,"Service, Robert W. (Robert William), 1874-1958",Poetry,PS,Category: Poetry
310,Text,2008-06-29,Before Adam,en,"London, Jack, 1876-1916",Fantasy fiction; Prehistoric peoples -- Fiction; Dreams -- Fiction,PS,Category: Science-Fiction & Fantasy; Category: Adventure; Category: Novels; Category: American Literature
311,Text,2008-07-02,Bunner Sisters,en,"Wharton, Edith, 1862-1937",New York (N.Y.) -- Social life and customs -- 19th century -- Fiction,PS,Category: Novels; Category: American Literature
312,Text,1995-08-01,Young Adventure: A Book of Poems,en,"Benét, Stephen Vincent, 1898-1943",American poetry,PS,Category: Poetry; Category: American Literature
313,Text,2008-07-02,Children of the Night,en,"Robinson, Edwin Arlington, 1869-1935",Poetry,PS,Category: Poetry; Category: American Literature
314,Text,1995-08-01,"Guide to Life and Literature of the Southwest, with a Few Observations",en,"Dobie, J. Frank (James Frank), 1888-1964","Southwest, New -- Bibliography",Z,"Category: Literature - Other; Category: Essays, Letters & Speeches; Category: History - Other"
315,Text,1995-08-01,Rhymes of a Red Cross Man,en,"Service, Robert W. (Robert William), 1874-1958","World War, 1914-1918 -- Poetry",PS,"Bestsellers, American, 1895-1923; Category: Poetry; Category: History - Warfare"
316,Text,2008-07-05,The Golden Road,en,"Montgomery, L. M. (Lucy Maud), 1874-1942","Prince Edward Island -- Juvenile fiction; Friendship -- Juvenile fiction; Children's stories, Canadian; Authorship -- Juvenile fiction; Publishers and publishing -- Juvenile fiction",PZ; PS,Canada; Children's Literature; Category: Children & Young Adult Reading; Category: Novels
317,Text,1995-08-01,"The Culprit Fay, and Other Poems",en,"Drake, Joseph Rodman, 1795-1820",American poetry -- 19th century; Fairies -- Poetry; New York (State) -- Poetry,PS,Category: Poetry; Category: American Literature
318,Text,1995-08-01,John Barleycorn,en,"London, Jack, 1876-1916","London, Jack, 1876-1916; Authors, American -- 20th century -- Biography; Alcoholics -- United States -- Biography; Drinking of alcoholic beverages -- United States",PS,Category: Biographies; Category: American Literature; Category: Drugs/Alcohol/Pharmacology
319,Text,1995-08-01,The Ways of Men,en,"Gregory, Eliot, 1854-1915",American essays -- 19th century,PS,"Category: Humour; Category: Essays, Letters & Speeches; Category: American Literature"
320,Text,1995-09-01,Vida De Lazarillo De Tormes Y De Sus Fortunas Y Adversidades,es,Anonymous,"Spanish fiction; Spain -- Social conditions -- 16th century -- Fiction; Picaresque literature, Spanish",PQ,6 Best Loved Spanish Literary Classics; Category: Novels; Category: Classics of Literature
321,Text,2008-07-09,Moran of the Lady Letty,en,"Norris, Frank, 1870-1902",Sea stories; Adventure stories; California -- Fiction,PS,Category: Adventure; Category: Novels; Category: American Literature
322,Text,1995-09-01,St. Ives: Being the Adventures of a French Prisoner in England,en,"Stevenson, Robert Louis, 1850-1894",Prisoners of war -- Fiction; French -- England -- Fiction,PR,Historical Fiction; Category: Historical Novels; Category: Romance; Category: Adventure; Category: Novels; Category: British Literature
323,Text,2008-06-29,Verses 1889-1896,en,"Kipling, Rudyard, 1865-1936",Poetry; India -- Poetry,PR,Category: Poetry; Category: British Literature; Nobel Prizes in Literature
324,Text,2008-07-09,A Knight of the Cumberland,en,"Fox, John, Jr., 1862-1919",Historical fiction; Country life -- Fiction; Kentucky -- Fiction,PS,Category: Adventure; Category: Novels; Category: American Literature
325,Text,2008-07-11,Phantastes: A Faerie Romance for Men and Women,en,"MacDonald, George, 1824-1905",Fantasy fiction,PR,Category: Science-Fiction & Fantasy; Category: Novels; Category: Classics of Literature; Category: British Literature
326,Text,1995-09-01,Steep Trails,en,"Muir, John, 1838-1914; Badè, William Frederic, 1871-1936 [Editor]","West (U.S.) -- Description and travel; Shasta, Mount (Calif. : Mountain); Forests and forestry -- West (U.S.)",F590.3,"Category: Essays, Letters & Speeches; Category: Travel Writing; Category: Nature/Gardening/Animals"
327,Text,1995-09-01,The Princess Aline,en,"Davis, Richard Harding, 1864-1916",Young men -- Fiction; Princesses -- Fiction,PS,"Bestsellers, American, 1895-1923; Category: Romance; Category: Novels; Category: British Literature"
328,Text,1995-09-01,A Heap o' Livin',en,"Guest, Edgar A. (Edgar Albert), 1881-1959",Poetry,PS,Category: Poetry; Category: American Literature
329,Text,1995-09-01,Island Nights' Entertainments,en,"Stevenson, Robert Louis, 1850-1894",Short stories; Islands of the Pacific -- Fiction,PR,Category: Short Stories; Category: British Literature
330,Text,2006-03-15,Where There's a Will,en,"Rinehart, Mary Roberts, 1876-1958",Humorous stories; Detective and mystery stories; Love stories; Man-woman relationships -- Fiction; Health resorts -- Fiction; Impersonation -- Fiction,PS,Category: Humour; Category: Novels; Category: American Literature
331,Text,1995-09-01,The Mucker,en,"Burroughs, Edgar Rice, 1875-1950",Adventure stories; American fiction -- 20th century,PS,"Category: Crime, Thrillers and Mystery; Category: Adventure; Category: Novels; Category: American Literature"
332,Text,2008-07-02,The Burial of the Guns,en,"Page, Thomas Nelson, 1853-1922",Short stories; United States -- Social life and customs -- 19th century -- Fiction,PS,US Civil War; Category: Historical Novels; Category: Novels; Category: American Literature
333,Text,1995-09-01,Robert Louis Stevenson,en,"Raleigh, Walter Alexander, Sir, 1861-1922","Stevenson, Robert Louis, 1850-1894; Authors, Scottish -- 19th century -- Biography",PR,"Category: Biographies; Category: Essays, Letters & Speeches"
334,Text,1995-09-01,Episodes in Van Bibber's Life,en,"Davis, Richard Harding, 1864-1916","Fiction; Short stories, American",PS,Category: Short Stories; Category: Humour; Category: American Literature
335,Text,1995-09-01,Frances Waldeaux: A Novel,en,"Davis, Rebecca Harding, 1831-1910",Voyages and travels -- Fiction,PS,Category: Novels; Category: American Literature
336,Text,2008-07-05,Indian Heroes and Great Chieftains,en,"Eastman, Charles A., 1858-1939",Heroes; Indians of North America -- Biography; Dakota Indians -- Biography,E011,Native America; Category: Biographies; Category: History - American
337,Text,2008-07-05,Indian Boyhood,en,"Eastman, Charles A., 1858-1939","Indians of North America -- Biography; Indian children -- North America; Eastman, Charles Alexander, 1858-1939 -- Childhood and youth; Santee Indians -- Social life and customs; Santee Indians -- Biography",E011,Native America; Category: Biographies; Category: Archaeology & Anthropology; Category: Parenthood & Family Relations
338,Text,2008-07-05,Old Indian Legends,en,"Zitkala-Sa, 1876-1938",Dakota Indians -- Folklore,E011,"Native America; Category: Short Stories; Category: Mythology, Legends & Folklore"
339,Text,2008-07-05,Old Indian Days,en,"Eastman, Charles A., 1858-1939",Indians of North America -- Fiction; Dakota Indians -- Fiction,PS,Native America; Category: Short Stories; Category: Adventure
340,Text,2008-07-05,The Soul of the Indian: An Interpretation,en,"Eastman, Charles A., 1858-1939",Indians of North America -- Religion; Indian mythology -- North America; Indian philosophy -- North America,E011,"Native America; Category: Essays, Letters & Speeches; Category: History - American; Category: Religion/Spirituality"
341,Text,1995-10-01,Myths and Legends of the Sioux,en,"McLaughlin, Marie L., 1842-",Mdewakanton Indians -- Folklore; Dakota Indians -- Folklore,E011,"Folklore; Native America; Category: Mythology, Legends & Folklore"
342,Text,1995-10-01,Margaret Ogilvy,en,"Barrie, J. M. (James Matthew), 1860-1937","Barrie, Margaret Ogilvy",DA,"Bestsellers, American, 1895-1923; Category: Biographies"
343,Text,1995-10-01,Fables,en,"Stevenson, Robert Louis, 1850-1894","Fiction; Short stories; Fables, Scottish",PR,Category: Short Stories; Category: British Literature
344,Text,1995-10-01,"The Merry Men, and Other Tales and Fables",en,"Stevenson, Robert Louis, 1850-1894",Boys -- Fiction; Treasure troves -- Fiction; Paranormal fiction; Great Britain -- History -- 19th century -- Fiction,PR,Category: Short Stories; Category: British Literature
345,Text,1995-10-01,Dracula,en,"Stoker, Bram, 1847-1912","Horror tales; Epistolary fiction; Gothic fiction; Vampires -- Fiction; Dracula, Count (Fictitious character) -- Fiction; Transylvania (Romania) -- Fiction; Whitby (England) -- Fiction",PR,"Horror; Gothic Fiction; Mystery Fiction; Movie Books; Category: Science-Fiction & Fantasy; Category: Crime, Thrillers and Mystery; Category: Novels; Category: Classics of Literature; Category: British Literature"
346,Text,1995-10-01,"The Troll Garden, and Selected Stories",en,"Cather, Willa, 1873-1947",Short stories; United States -- Social life and customs -- Fiction; Man-woman relationships -- Fiction; Nebraska -- Social life and customs -- Fiction,PS,Category: Short Stories; Category: American Literature
347,Text,2008-07-05,The Saga of Grettir the Strong: Grettir's Saga,en,Unknown,"Sagas -- Translations into English; Vikings -- Fiction; Grettir Ásmundarson, 996-1031 -- Fiction",PT,"Category: Historical Novels; Category: Mythology, Legends & Folklore"
348,Text,2008-07-05,"Hesiod, the Homeric Hymns, and Homerica",en,"Hesiod; Evelyn-White, Hugh G. (Hugh Gerard), 1884-1924 [Translator]","Epic poetry, Greek; Epic poetry, Greek -- Translations into English; Hesiod -- Translations into English; Gods, Greek -- Poetry; Hymns, Greek (Classical) -- Translations into English",PA,"Classical Antiquity; Category: Poetry; Category: Mythology, Legends & Folklore; Category: Classics of Literature"
349,Text,1995-10-01,The Harvester,en,"Stratton-Porter, Gene, 1863-1924",Herbalists -- Fiction; Didactic fiction; Indiana -- Fiction,PS,"Bestsellers, American, 1895-1923; Category: Novels; Category: American Literature"
350,Text,2008-07-03,Fanny Herself,en,"Ferber, Edna, 1885-1968",Autobiographical fiction; Domestic fiction; Bildungsromans; Mothers and daughters -- Fiction; Jewish fiction; Jewish families -- Fiction; Jewish girls -- Fiction; Wisconsin -- Fiction,PS,Category: Novels; Category: American Literature
351,Text,1995-10-01,Of Human Bondage,en,"Maugham, W. Somerset (William Somerset), 1874-1965",Orphans -- Fiction; People with disabilities -- Fiction; Physicians -- Fiction; Bildungsromans; Artists -- Fiction,PR,Category: Novels; Category: British Literature
352,Text,1995-11-01,Buttered Side Down: Stories,en,"Ferber, Edna, 1885-1968",Short stories; United States -- Social life and customs -- 20th century -- Fiction,PS,Category: Short Stories; Category: American Literature
353,Text,2008-07-05,"In Flanders Fields, and Other Poems",en,"McCrae, John, 1872-1918; Macphail, Andrew, 1864-1938 [Contributor]","World War, 1914-1918 -- Poetry; Patriotic poetry; English poetry; McCrae, John, 1872-1918",PR,"World War I; Bestsellers, American, 1895-1923; Category: Poetry"
354,Text,1995-11-01,The Story of a Pioneer,en,"Shaw, Anna Howard, 1847-1919; Jordan, Elizabeth Garver, 1867-1947","Shaw, Anna Howard, 1847-1919; Women -- Suffrage -- United States; Women social reformers -- United States -- Biography; Women's rights -- United States",JK,Category: Biographies; Category: History - American
355,Text,1995-11-01,The Parasite: A Story,en,"Doyle, Arthur Conan, 1859-1930",Horror tales; Mesmerism -- Fiction,PR,"Category: Science-Fiction & Fantasy; Category: Crime, Thrillers and Mystery; Category: Novels; Category: British Literature"
356,Text,2008-07-02,Beyond the City,en,"Doyle, Arthur Conan, 1859-1930",Suburbs -- Great Britain -- Fiction,PR,Category: Novels; Category: British Literature
357,Text,1995-11-01,"A Dream of John Ball; and, A King's Lesson",en,"Morris, William, 1834-1896","Historical fiction; Ball, John, -1381 -- Fiction; Tyler's Insurrection, 1381 -- Fiction; Matthias I, King of Hungary, 1443-1490 -- Fiction; Peasant uprisings -- Fiction",PR,Category: Historical Novels; Category: Novels; Category: British Literature
358,Text,1995-11-01,The Scarlet Car,en,"Davis, Richard Harding, 1864-1916",Humorous stories; Love stories; Automobiles -- Fiction; Automobile driving -- Fiction,PS,Category: Romance; Category: Adventure; Category: Novels; Category: American Literature
359,Text,1995-11-01,"Good Stories for Great Holidays
Arranged for Story-Telling and Reading Aloud and for the Children's Own Reading",en,"Olcott, Frances Jenkins, 1872-1963",Children's literature; Holidays; Short stories; Storytelling,PZ,"Category: Short Stories; Category: Children & Young Adult Reading; Category: Mythology, Legends & Folklore"
360,Text,1995-11-01,What is Property? An Inquiry into the Principle of Right and of Government,en,"Proudhon, P.-J. (Pierre-Joseph), 1809-1865",Economics; Property,HB,Anarchism; Category: Philosophy & Ethics; Category: Politics
361,Text,2008-07-11,Miss Billy — Married,en,"Porter, Eleanor H. (Eleanor Hodgman), 1868-1920",Domestic fiction; Married women -- Fiction; Marriage -- Fiction,PS,Category: Romance; Category: Novels; Category: American Literature
362,Text,2008-07-11,Miss Billy's Decision,en,"Porter, Eleanor H. (Eleanor Hodgman), 1868-1920",Love stories; Man-woman relationships -- Fiction,PS,Category: Romance; Category: Novels; Category: American Literature
363,Text,2008-07-11,The Oakdale Affair,en,"Burroughs, Edgar Rice, 1875-1950",Adventure stories; Mystery fiction,PS,"Category: Crime, Thrillers and Mystery; Category: Novels; Category: American Literature"
364,Text,1995-11-01,The Mad King,en,"Burroughs, Edgar Rice, 1875-1950",Fantasy fiction; Impostors and imposture -- Fiction; Adventure stories; Kings and rulers -- Fiction; Mistaken identity -- Fiction,PS,Category: Adventure; Category: Novels
365,Text,2008-07-09,The Land of Little Rain,en,"Austin, Mary, 1868-1934","California -- Social life and customs; Natural history -- California; California -- Description and travel; Frontier and pioneer life -- California; California -- History, Local",F850.5,"Category: Essays, Letters & Speeches; Category: Travel Writing; Category: American Literature; Category: Nature/Gardening/Animals"
366,Text,2006-03-15,Bab: A Sub-Deb,en,"Rinehart, Mary Roberts, 1876-1958",Debutantes -- Fiction,PS,Category: Humour; Category: Novels; Category: American Literature
367,Text,2008-07-11,The Country of the Pointed Firs,en,"Jewett, Sarah Orne, 1849-1909",Maine -- Fiction; Psychological fiction; Pastoral fiction; Women authors -- Fiction; Authorship -- Fiction; Country life -- Fiction; Seaside resorts -- Fiction; Summer resorts -- Fiction,PS,Category: Novels; Category: American Literature
368,Text,2008-06-29,Acres of Diamonds: Our Every-day Opportunities,en,"Conwell, Russell H., 1843-1925; Shackleton, Robert, 1860-1923 [Contributor]","Success; Temple University; Conwell, Russell H., 1843-1925",BJ,"Category: Essays, Letters & Speeches"
369,Text,2008-07-11,The outlaw of Torn,en,"Burroughs, Edgar Rice, 1875-1950","Historical fiction; Outlaws -- Fiction; Great Britain -- History -- Henry III, 1216-1272 -- Fiction",PS,Science Fiction; Category: Historical Novels; Category: Adventure; Category: British Literature
370,Text,1995-12-01,The Fortunes and Misfortunes of the Famous Moll Flanders,en,"Defoe, Daniel, 1661?-1731",London (England) -- Fiction; Picaresque literature; Adventure stories; Criminals -- Fiction; Prostitutes -- Fiction; Children of prisoners -- Fiction; British -- Virginia -- Fiction; Women -- England -- Fiction; Repentance -- Fiction; Virginia -- Fiction,PR,Category: Novels; Category: Classics of Literature; Category: British Literature
371,Text,1995-12-01,"Literary Blunders: A Chapter in the ""History of Human Error""",en,"Wheatley, Henry B. (Henry Benjamin), 1838-1917","Errors and blunders, Literary",PN,"Category: Humour; Category: Essays, Letters & Speeches; Category: Journalism/Media/Writing"
372,Text,1995-12-01,"Prince Otto, a Romance",en,"Stevenson, Robert Louis, 1850-1894",Nobility -- Fiction; Man-woman relationships -- Fiction,PR,Category: Romance; Category: Adventure; Category: Novels; Category: British Literature
373,Text,1995-12-01,"Lay Morals, and Other Papers",en,"Stevenson, Robert Louis, 1850-1894; Stevenson, Fanny Van de Grift, 1840-1914 [Author of introduction, etc.]",Essays; Short stories,PR,"Category: Essays, Letters & Speeches; Category: Philosophy & Ethics"
374,Text,1995-12-01,Fantastic Fables,en,"Bierce, Ambrose, 1842-1914?","Wit and humor; Fables, American",PS,Category: Short Stories; Category: Humour; Category: American Literature
375,Text,1995-12-01,An Occurrence at Owl Creek Bridge,en,"Bierce, Ambrose, 1842-1914?","Short stories; United States -- History -- Civil War, 1861-1865 -- Fiction; Prisoners -- Fiction",PS,US Civil War; Horror; Category: Short Stories; Category: American Literature
376,Text,2006-01-16,"A Journal of the Plague Year
Being Observations or Memorials of the Most Remarkable Occurrences, as Well Public as Private, Which Happened in London During the Last Great Visitation in 1665. Written by a Citizen Who Continued All the While in London",en,"Defoe, Daniel, 1661?-1731","Historical fiction; Great Fire, London, England, 1666 -- Fiction; Plague -- Fiction; London (England) -- History -- 17th century -- Fiction",PR,Category: Historical Novels; Category: Classics of Literature; Category: British Literature
377,Text,2008-07-09,Kansas Women in Literature,en,"Barker, Nettie Garmer, 1882-1953","Women authors, American -- Homes and haunts -- Kansas; Women -- Kansas -- Intellectual life; Kansas -- Biography; Women and literature -- Kansas; Kansas -- In literature",PS,Category: Biographies; Category: American Literature
378,Text,1995-12-01,The White Knight: Tirant Lo Blanc,en,"Martorell, Joanot, -1468; Galba, Martí Joan de, -1490; Rudder, Robert S. [Translator]",Knights and knighthood -- Fiction; Adventure and adventurers -- Fiction; Adventure stories,PC,Category: Historical Novels; Category: Adventure; Category: Classics of Literature
379,Text,1995-12-01,Worldly Ways & Byways,en,"Gregory, Eliot, 1854-1915",American essays -- 19th century,PS,"Category: Humour; Category: Essays, Letters & Speeches; Category: American Literature"
380,Text,1995-12-01,Weir of Hermiston: An Unfinished Romance,en,"Stevenson, Robert Louis, 1850-1894",Fathers and sons -- Fiction; Domestic fiction; Young men -- Fiction; Country life -- Fiction; Scotland -- Fiction; Judges -- Fiction,PR,Category: Historical Novels; Category: Novels; Category: British Literature
381,Text,1995-12-01,Memories and Portraits,en,"Stevenson, Robert Louis, 1850-1894","Stevenson, Robert Louis, 1850-1894; Authors, Scottish -- 19th century -- Biography; Scotland -- Social life and customs -- 19th century",PR,"Category: Essays, Letters & Speeches; Category: British Literature"
382,Text,1995-12-01,Edinburgh: Picturesque Notes,en,"Stevenson, Robert Louis, 1850-1894",Edinburgh (Scotland) -- Description and travel,DA,"United Kingdom; Category: Essays, Letters & Speeches; Category: Travel Writing; Category: British Literature"
383,Text,1995-12-01,"She Stoops to Conquer; Or, The Mistakes of a Night: A Comedy",en,"Goldsmith, Oliver, 1730?-1774",Comedy plays,PR,Harvard Classics; Category: Humour; Category: Plays/Films/Dramas; Category: British Literature
384,Text,1996-01-01,The Lost Prince,en,"Burnett, Frances Hodgson, 1849-1924",People with disabilities -- Fiction; Fathers and sons -- Fiction; Princes -- Fiction; Refugees -- Fiction,PZ; PS,Children's Literature; Category: Children & Young Adult Reading; Category: Adventure; Category: Novels; Category: British Literature
385,Text,1996-01-01,"The Redheaded Outfield, and Other Baseball Stories",en,"Grey, Zane, 1872-1939","Fiction; Short stories; Baseball stories, American",PS,Western; Category: Short Stories; Category: Humour; Category: American Literature; Category: Sports/Hobbies
386,Text,1996-01-01,"Virginibus Puerisque, and Other Papers",en,"Stevenson, Robert Louis, 1850-1894",Essays,PR,"Category: Essays, Letters & Speeches; Category: British Literature"
387,Text,1996-01-01,"Vailima Letters
Being Correspondence Addressed by Robert Louis Stevenson to Sidney Colvin, November 1890-October 1894",en,"Stevenson, Robert Louis, 1850-1894","Stevenson, Robert Louis, 1850-1894 -- Correspondence; Authors, Scottish -- 19th century -- Correspondence; Stevenson, Robert Louis, 1850-1894 -- Travel -- Samoan Islands; Colvin, Sidney, 1845-1927 -- Correspondence",PR,"Category: Biographies; Category: Essays, Letters & Speeches; Category: Travel Writing; Category: British Literature"
388,Text,2004-10-19,The Crossing,en,"Churchill, Winston, 1871-1947","Historical fiction; Frontier and pioneer life -- Fiction; Louisiana -- Fiction; Northwest, Old -- History -- Revolution, 1775-1783 -- Fiction; Kentucky -- Fiction; Clark, George Rogers, 1752-1818 -- Fiction",PS,"Bestsellers, American, 1895-1923; Category: Historical Novels; Category: Adventure; Category: American Literature"
389,Text,1996-01-01,The Great God Pan,en,"Machen, Arthur, 1863-1947",Horror tales; Paranormal fiction,PR,"Horror; Category: Crime, Thrillers and Mystery; Category: Novels; Category: British Literature"
390,Text,1996-01-01,A Lute of Jade : Selections from the Classical Poets of China,en,"Cranmer-Byng, L. (Launcelot), 1872-1945",Chinese poetry -- Translations into English,PL,Category: Poetry
